NFGEL#,SampleID,Location,DateCollected,DateReceived,Latitude,Longitude,TissueType,Comments,SpeciesID,CommonName,Lyoph?,Original DNA Plate,Original Plate Well,[Mini] ng/ul,DNA PLATE,DNA PLATE POSITION,[DNA] ng/ul,DNA Yield (ug) (100ul vol)
LG53,6-17,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,F09,,Spineflower 2,C04,24.9,2.5
LG54,6-18,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,G09,,Spineflower 2,D04,39.3,3.9
LG55,6-19,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,H09,,Spineflower 2,E04,19.5,2.0
LG56,6-20,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,A10,,Spineflower 2,F04,27.5,2.7
LG57,6-21,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,B10,,Spineflower 2,G04,21.7,2.2
LG58,Cs1-1,"Newhall Ranch, C. sticata Pop 1",5/21/14,5/23/14,,,Leaves,"Different Pop 1 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,C10,,Spineflower 2,H04,30.6,3.1
LG59,Cs2-1,"Newhall Ranch, C. sticata Pop 2",5/21/14,5/23/14,,,Leaves,"Different Pop 2 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,D10,,Spineflower 2,A05,42.2,4.2
LG60,Cs3-1,"Newhall Ranch, C. sticata Pop 3",5/21/14,5/23/14,,,Leaves,"Different Pop 3 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,E10,,Spineflower 2,B05,26.3,2.6
LG61,Cs3-2,"Newhall Ranch, C. sticata Pop 3",5/21/14,5/23/14,,,Leaves,"Different Pop 3 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,F10,,Spineflower 2,C05,30.4,3.0
LG62,Cs3-3,"Newhall Ranch, C. sticata Pop 3",5/21/14,5/23/14,,,Leaves,"Different Pop 3 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,G10,,Spineflower 2,D05,37.5,3.8
LG63,Cs3-4,"Newhall Ranch, C. sticata Pop 3",5/21/14,5/23/14,,,Leaves,"Different Pop 3 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,H10,,Spineflower 2,E05,23.5,2.4
LG64,Cs3-5,"Newhall Ranch, C. sticata Pop 3",5/21/14,5/23/14,,,Leaves,"Different Pop 3 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,A11,,Spineflower 2,F05,39.2,3.9
LG65,Cs4-1,"Newhall Ranch, C. sticata Pop 4",5/21/14,5/23/14,,,Leaves,"Different Pop 4 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,B11,,Spineflower 2,G05,48.9,4.9
LG66,Cs4-2,"Newhall Ranch, C. sticata Pop 4",5/21/14,5/23/14,,,Leaves,"Different Pop 4 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,C11,,Spineflower 2,H05,23.2,2.3
LG67,Cs4-3,"Newhall Ranch, C. sticata Pop 4",5/21/14,5/23/14,,,Leaves,"Different Pop 4 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,D11,,Spineflower 2,A06,29.6,3.0
LG68,Cs4-4,"Newhall Ranch, C. sticata Pop 4",5/21/14,5/23/14,,,Leaves,"Different Pop 4 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,E11,,Spineflower 2,B06,34.1,3.4
LG69,Cs4-5,"Newhall Ranch, C. sticata Pop 4",5/21/14,5/23/14,,,Leaves,"Different Pop 4 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,F11,,Spineflower 2,C06,41.2,4.1
LG70,Cs5-1,"Newhall Ranch, C. sticata Pop 5",5/21/14,5/23/14,,,Leaves,"Different Pop 5 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,582,A01,,Spineflower 2,D06,36.8,3.7
LG71,Cs5-2,"Newhall Ranch, C. sticata Pop 5",5/21/14,5/23/14,,,Leaves,"Different Pop 5 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,H11,,Spineflower 2,E06,43.7,4.4
LG72,Cs5-3,"Newhall Ranch, C. sticata Pop 5",5/21/14,5/23/14,,,Leaves,"Different Pop 5 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,A12,,Spineflower 2,F06,28.6,2.9
LG73,Cs5-4,"Newhall Ranch, C. sticata Pop 5",5/21/14,5/23/14,,,Leaves,"Different Pop 5 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,582,B01,,Spineflower 2,G06,14.6,1.5
LG74,Cs5-5,"Newhall Ranch, C. sticata Pop 5",5/21/14,5/23/14,,,Leaves,"Different Pop 5 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,C12,,Spineflower 2,H06,20.1,2.0
LG75,Cs5-6,"Newhall Ranch, C. sticata Pop 5",5/21/14,5/23/14,,,Leaves,"Different Pop 5 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,D12,,Spineflower 2,A07,29.2,2.9
LG76,Cs5-7,"Newhall Ranch, C. sticata Pop 5",5/21/14,5/23/14,,,Leaves,"Different Pop 5 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,E12,,Spineflower 2,B07,29.5,3.0
LG77,Cs5-8,"Newhall Ranch, C. sticata Pop 5",5/21/14,5/23/14,,,Leaves,"Different Pop 5 from SFVSF; may be >1 plant per bag. Prep only 1, lyoph all samples individually.",,Turkish rugging,,579,F12,,Spineflower 2,C07,26.3,2.6
LX52,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX53,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX54,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX55,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX56,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX57,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX58,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX59,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX60,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX61,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX62,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX63,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX64,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX65,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX66,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX67,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX68,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX69,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX70,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX71,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX72,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX73,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX74,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX75,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX76,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX77,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX78,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX79,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX80,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX81,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX82,,"Ahmundsen = Laskey Mesa, Site 2",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX83,,"Ahmundsen = Laskey Mesa, Site 2",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX84,,"Ahmundsen = Laskey Mesa, Site 2",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX85,,"Ahmundsen = Laskey Mesa, Site 2",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX86,,"Ahmundsen = Laskey Mesa, Site 2",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX87,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX88,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX89,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX90,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX91,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX92,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX93,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX94,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX95,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX96,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX97,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX98,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LX99,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LY01,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
LY02,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA30,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA31,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA32,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA33,F2,"Newhall, Entrada",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA34,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA35,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA36,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA37,F13,"Newhall, Grapevile Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA38,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA39,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA40,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA41,F5,"Newhall, Airport Mesa",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA42,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA43,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA44,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA45,F20,"Newhall, San Martinez Grande",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA46,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA47,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA48,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA49,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA50,F9,"Newhall, Valencia CC",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA51,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA52,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA53,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA54,,"Ahmundsen = Laskey Mesa, Site 1",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA55,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA56,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA57,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA58,,"Ahmundsen = Laskey Mesa, Site 4",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA59,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA60,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA61,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA62,,"Ahmundsen = Laskey Mesa, Site 5",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA63,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA64,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA65,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA66,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA67,,"Ahmundsen = Laskey Mesa, Site 6",30-31 July 2014,,,,seed from single mom,,,,,No DNA Extracted,,,,,,
MA68,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H04,,Spineflower 2,D07,30.6,3.1
MA69,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,A05,,Spineflower 2,E07,18.6,1.9
MA70,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,B05,,Spineflower 2,F07,22.7,2.3
MA71,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,C05,,Spineflower 2,G07,28.7,2.9
MA72,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,D05,,Spineflower 2,H07,27.5,2.7
MA73,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,E05,,Spineflower 2,A08,49.3,4.9
MA74,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,F05,,Spineflower 2,B08,17.0,1.7
MA75,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,G05,,Spineflower 2,C08,72.3,7.2
MA76,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H05,,Spineflower 2,D08,19.0,1.9
MA77,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,A06,,Spineflower 2,E08,28.4,2.8
MA78,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,B06,,Spineflower 2,F08,39.3,3.9
MA79,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,C06,,Spineflower 2,G08,46.1,4.6
MA80,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,D06,,Spineflower 2,H08,53.0,5.3
MA81,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,E06,,Spineflower 2,A09,28.1,2.8
MA82,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,F06,,Spineflower 2,B09,34.8,3.5
MA83,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,G06,,Spineflower 2,C09,28.7,2.9
MA84,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H06,,Spineflower 2,D09,22.0,2.2
MA85,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,A07,,Spineflower 2,E09,31.6,3.2
MA86,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,B07,,Spineflower 2,F09,32.9,3.3
MA87,F5,"Newhall, Airport Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,C07,,Spineflower 2,G09,75.2,7.5
MA88,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,D07,,Spineflower 2,H09,40.5,4.0
MA89,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,E07,,Spineflower 2,A10,24.6,2.5
MA90,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,F07,,Spineflower 2,B10,21.0,2.1
MA91,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,G07,,Spineflower 2,C10,37.3,3.7
MA92,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H07,,Spineflower 2,D10,25.1,2.5
MA93,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,A08,,Spineflower 2,E10,67.7,6.8
MA94,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,B08,,Spineflower 2,F10,27.9,2.8
MA95,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,C08,,Spineflower 2,G10,78.2,7.8
MA96,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,D08,,Spineflower 2,H10,43.5,4.3
MA97,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,E08,,Spineflower 2,A11,43.8,4.4
MA98,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,G08,,Spineflower 2,B11,56.6,5.7
MA99,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,F08,,Spineflower 2,C11,39.5,3.9
MB01,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H08,,Spineflower 2,D11,36.7,3.7
MB02,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,A09,,Spineflower 2,E11,52.6,5.3
MB03,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,B09,,Spineflower 2,F11,24.7,2.5
MB04,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,C09,,Spineflower 2,G11,63.7,6.4
MB05,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,D09,,Spineflower 2,H11,40.2,4.0
MB06,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,E09,,Spineflower 2,A12,40.1,4.0
MB07,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,F09,,Spineflower 2,B12,60.4,6.0
MB08,F13,"Newhall, Grapevile Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,G09,,Spineflower 2,C12,58.4,5.8
MB09,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H09,,Spineflower 2,D12,23.0,2.3
MB10,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,A10,,Spineflower 2,E12,25.4,2.5
MB11,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,B10,,Spineflower 2,F12,45.4,4.5
MB12,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,C10,,Spineflower 2,G12,26.2,2.6
MB13,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,D10,,Spineflower 2,H12,30.2,3.0
MB14,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,E10,,Spineflower 3,A01,41.1,4.1
MB15,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,F10,,Spineflower 3,B01,28.8,2.9
MB16,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,G10,,Spineflower 3,C01,38.6,3.9
MB17,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H10,,Spineflower 3,D01,13.3,1.3
MB18,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,A11,,Spineflower 3,E01,28.9,2.9
MB19,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,B11,,Spineflower 3,F01,27.3,2.7
MB20,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,C11,,Spineflower 3,G01,11.8,1.2
MB21,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,D11,,Spineflower 3,H01,44.1,4.4
MB22,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,E11,,Spineflower 3,A02,64.8,6.5
MB23,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,F11,,Spineflower 3,B02,33.5,3.4
MB24,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,G11,,Spineflower 3,C02,43.6,4.4
MB25,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H11,,Spineflower 3,D02,28.3,2.8
MB26,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,A12,,Spineflower 3,E02,18.8,1.9
MB27,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,B12,,Spineflower 3,F02,18.1,1.8
MB28,F14,"Newhall, Long Canyon",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,C12,,Spineflower 3,G02,26.5,2.6
MB29,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,D12,,Spineflower 3,H02,30.4,3.0
MB30,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,E12,,Spineflower 3,A03,26.0,2.6
MB31,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,F12,,Spineflower 3,B03,23.3,2.3
MB32,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,G12,,Spineflower 3,C03,15.3,1.5
MB33,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,603,H12,,Spineflower 3,D03,18.3,1.8
MB34,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,608,A01,,Spineflower 3,E03,29.9,3.0
MB35,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,608,B01,,Spineflower 3,F03,31.2,3.1
MB36,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,608,C01,,Spineflower 3,G03,20.9,2.1
MB37,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,608,D01,,Spineflower 3,H03,38.0,3.8
MB38,F18,"Newhall, Protrero Mesa",1-2 April 2015,3-Apr-15,,,leaves,,,,yes,608,E01,,Spineflower 3,A04,24.5,2.5
